actualkl,predictedkl
8790,7690.027143
7020,5923.432409
6638,7624.218172
7983,8488.728366
7025,7314.244645
4138,8613.08089
6862,8498.633141
8516,6586.330748
6820,6675.530874
7002,8073.914702
7201,7320.837173
5440,8272.644827
5540,8297.508361
5140,8024.885835
4440,6689.325322
