actualtg,predicted
1481,679.0259671
1504,1439.33567
1531,1318.438743
1445,1347.063008
1416,1522.429563
922,1540.151383
1536,1501.243235
1637,1483.266696
1539,737.7376066
1602,1317.503467
1607,1408.354989
1440,1633.908415
1740,1724.963636
1540,1624.786556
1240,1515.523899
