actualwb,predictedwb
3924,4071.016101
3989,3972.935504
3979,3888.246732
3993,3450.071941
3987,3434.151433
3957,2777.035249
3981,2429.068637
3987,2937.742473
3948,2983.77018
3942,2599.577094
3928,3006.23013
3920,3010.172502
3820,2132.0874
3720,2232.57787
3620,2277.809162
