actualdl,predicteddl
5673,4040.305542
5739,3112.329625
5891,3378.575344
5062,3416.263289
5664,3434.413006
4001,3176.397853
6725,3020.283378
6842,2848.270188
6715,2424.780545
7178,2819.797205
6953,2852.580698
7745,2713.272017
7245,2915.85329
6745,2652.22823
6545,2392.367959
