actualmh,predictedmh
6738,6828.835382
5902,6591.468456
6190,6622.112773
5548,7131.058641
5369,7272.631625
4009,7065.986881
4909,6637.541532
5505,6492.477601
5246,5761.522746
6870,6376.57744
3959,7944.420594
5585,8786.500633
6585,10346.87709
6785,10045.75395
5885,9691.493903
