actualtn,predictedtn
2516,3618.703884
2652,3977.433246
2608,4135.352781
2511,4105.175772
2504,4100.112091
2481,4244.028873
2435,4115.356381
2487,3978.430685
2348,3906.44257
2370,4023.84271
2341,3997.039403
2234,3787.367302
2434,4267.442846
2134,3811.172873
2434,4048.239742
