actualka,predictedka
3146,4538.793072
4025,5244.229628
3589,5356.259169
3014,5840.705967
3652,6183.965149
2576,5922.719853
2756,6122.233896
3377,5520.4707
3156,5025.67024
2960,5212.081835
2258,5882.651336
2740,5714.44582
2840,5636.108685
2940,5590.106772
2740,5091.535397
