actualor,predictedor
1540,1719.359051
1617,1764.685715
1547,1807.38043
1470,1891.450057
1709,1937.070956
1389,1956.612337
1201,1967.757421
1474,1969.896447
1385,1979.199596
1494,2004.011301
1372,2077.683536
1434,2177.176721
1534,2238.238152
1554,2276.504354
1434,2321.225575
