,0
0,1376.9805840757099
1,1374.4237565963629
2,1375.5433170201918
3,1379.111650390469
4,1384.2878019765756
5,1390.4980676497448
6,1397.353118840282
7,1404.5905350753842
8,1412.0349982201064
9,1419.5707574297478
10,1427.1226137749259
11,1434.6428154199828
12,1442.1020492395337
13,1449.483268130957
14,1456.7774783708437
