,0
0,2351.983203098713
1,2369.0428071005163
2,2387.8110869416505
3,2406.824467640287
4,2425.8499121885625
5,2444.8231994333355
6,2463.713395521563
7,2482.5019615489564
8,2501.1773093866095
9,2519.732243334242
10,2538.1624123189586
11,2556.465315374902
12,2574.6396550441536
13,2592.684916055636
14,2610.6010906867746
