,0
0,1866.396766251639
1,1875.5310734412233
2,1884.3167915277577
3,1893.594230358787
4,1903.409675488862
5,1913.6713860840428
6,1924.2778919099017
7,1935.1406601420697
8,1946.1860409365631
9,1957.35349894818
10,1968.5934761199474
11,1979.8654930257185
12,1991.136556163173
13,2002.379839481659
14,2013.5735964171683
